rol,escenario,util_p50_ms,util_p95_ms,backend_requests,auth_me,endpoints_datos
medico,"A. LOGIN COLD (submit → primera pantalla útil)",1912,1952,13,11,"POST /api/v1/auth/login + GET /api/v1/inbox"
medico,"B. /kpi → /mis-tramites (COLD)",819,829,4,3,"GET /api/v1/inbox"
medico,"C1. /mis-tramites → detalle (COLD)",809,820,4,3,"GET /api/v1/cases/{id}/report"
medico,"C2. detalle → /mis-tramites (REVISIT <10s)",816,822,3,2,"GET /api/v1/inbox"
medico,"D1. pestaña Pendientes → Histórico",,,12,12,""
medico,"D2. pestaña Histórico → Pendientes",,,0,0,""
medico,"E1. volver al MISMO caso (REVISIT del detalle)",755,762,9,8,"GET /api/v1/cases/{id}/report"
medico,"E2. /mis-tramites → /kpi (REVISIT del dashboard)",752,758,8,7,"GET /api/v1/inbox"
medico,"F. /kpi → /mi-firma",29,39,0,1,""
medico,"G. LOGOUT",,,2,1,"POST /api/v1/auth/logout"
admin,"A. LOGIN COLD (admin)",1739,1759,30,28,"POST /api/v1/auth/login + GET /api/v1/admin/batches"
admin,"COLD  clic → /admin/casos",365,367,5,2,"GET /api/v1/admin/batches + GET /api/v1/admin/doctor-workload + GET /api/v1/admin/cases"
admin,"COLD  clic → /admin/retenidos",354,369,3,2,"GET /api/v1/admin/holds"
admin,"COLD  clic → /admin/informes",359,372,4,2,"GET /api/v1/admin/batches + GET /api/v1/reports"
admin,"COLD  clic → /admin/asignaciones",576,580,4,2,"GET /api/v1/admin/batches + GET /api/v1/admin/batches/{id}/assignment-context"
admin,"COLD  clic → /admin/usuarios",355,371,4,2,"GET /api/v1/admin/users + GET /api/v1/admin/doctors"
admin,"REVISIT<10s clic → /admin/casos",354,361,5,2,"GET /api/v1/admin/batches + GET /api/v1/admin/doctor-workload + GET /api/v1/admin/cases"
admin,"REVISIT<10s clic → /admin/retenidos",357,362,3,2,"GET /api/v1/admin/holds"
admin,"REVISIT<10s clic → /admin/informes",357,362,4,2,"GET /api/v1/admin/batches + GET /api/v1/reports"
admin,"REVISIT<10s clic → /admin/asignaciones",567,583,4,2,"GET /api/v1/admin/batches + GET /api/v1/admin/batches/{id}/assignment-context"
admin,"REVISIT<10s clic → /admin/usuarios",353,360,4,2,"GET /api/v1/admin/users + GET /api/v1/admin/doctors"
admin,"REVISIT~35s clic → /admin/casos",369,396,5,2,"GET /api/v1/admin/batches + GET /api/v1/admin/doctor-workload + GET /api/v1/admin/cases"
admin,"REVISIT~35s clic → /admin/retenidos",354,360,3,2,"GET /api/v1/admin/holds"
admin,"RECARGA DURA (F5) de /admin/retenidos",17,18,24,23,"GET /api/v1/admin/holds"
admin,"clic → /kpi (nav principal)",355,375,4,2,"GET /api/v1/admin/batches + GET /api/v1/admin/doctor-workload"
admin,"clic → /admin (volver)",784,796,5,4,"GET /api/v1/admin/batches"
admin,"LOGOUT",,,1,0,"POST /api/v1/auth/logout"
